gender,age,study_hours,attendance,sleep_hours,previous_grade,internet_access,parent_education,family_income,extra_classes,assignments_completed,participation,final_score,pass_fail
male,16,8,92.47,8.0,77.5,yes,higher,low,no,91.6,60.0,75,1
female,15,8,97.85,8.0,60.0,yes,higher,low,yes,97.6,60.0,55,1
female,15,2,91.4,6.0,67.5,no,middle,low,yes,90.4,53.33,65,1
female,16,5,73.12,7.0,42.5,yes,middle,high,no,52.0,60.0,55,1
male,15,2,91.4,8.0,60.0,yes,higher,high,no,90.4,80.0,60,1
male,15,5,97.85,8.0,92.5,yes,higher,medium,no,97.6,66.67,90,1
male,15,2,100.0,6.0,40.0,yes,middle,medium,yes,100.0,66.67,55,1
female,16,5,84.95,8.0,50.0,yes,middle,high,yes,65.2,66.67,45,1
female,15,5,91.4,8.0,40.0,yes,higher,high,yes,90.4,60.0,30,0
female,16,5,87.1,7.0,57.5,yes,secondary,high,no,85.6,66.67,55,1
male,16,12,95.7,6.0,95.0,yes,higher,medium,no,95.2,53.33,100,1
male,15,5,97.85,8.0,75.0,no,secondary,medium,yes,97.6,66.67,70,1
female,15,5,97.85,7.0,35.0,yes,higher,medium,yes,79.6,80.0,35,0
female,16,5,97.85,8.0,62.5,yes,middle,high,yes,97.6,66.67,65,1
female,15,5,97.85,8.0,60.0,yes,secondary,high,yes,97.6,66.67,65,1
male,15,2,93.55,8.0,55.0,no,secondary,high,no,74.8,100.0,50,1
female,15,2,100.0,8.0,45.0,yes,higher,medium,yes,100.0,66.67,55,1
female,15,2,93.55,6.0,57.5,yes,secondary,high,yes,92.8,80.0,65,1
female,16,5,91.4,6.0,42.5,yes,middle,medium,yes,90.4,80.0,50,1
female,15,5,100.0,6.0,72.5,yes,higher,medium,yes,100.0,60.0,75,1
male,15,5,95.7,8.0,72.5,no,higher,medium,no,95.2,46.67,75,1
male,15,5,97.85,8.0,47.5,yes,middle,high,yes,97.6,60.0,45,1
female,16,5,97.85,8.0,77.5,yes,secondary,medium,no,97.6,60.0,80,1
female,16,5,93.55,8.0,52.5,no,higher,low,no,92.8,66.67,55,1
female,16,2,93.55,8.0,45.0,yes,primary,medium,yes,92.8,100.0,55,1
female,16,5,95.7,6.0,45.0,yes,middle,high,yes,95.2,73.33,45,1
female,16,8,97.85,8.0,47.5,yes,higher,medium,yes,97.6,73.33,45,1
female,15,5,100.0,6.0,50.0,yes,higher,high,yes,100.0,80.0,50,1
female,16,5,97.85,6.0,77.5,yes,higher,high,no,97.6,80.0,75,1
male,15,12,95.7,7.0,65.0,yes,higher,medium,no,95.2,46.67,60,1
female,16,12,95.7,8.0,35.0,yes,middle,medium,yes,95.2,66.67,30,0
female,15,5,97.85,8.0,42.5,yes,middle,low,yes,97.6,53.33,40,1
female,15,12,87.1,7.0,80.0,yes,middle,low,no,85.6,66.67,80,1
male,16,12,100.0,8.0,70.0,yes,middle,medium,yes,100.0,60.0,75,1
male,15,12,100.0,7.0,50.0,yes,secondary,medium,no,100.0,60.0,50,1
female,15,5,97.85,8.0,35.0,yes,primary,low,yes,61.6,66.67,25,0
male,16,2,97.85,8.0,60.0,no,middle,medium,no,97.6,66.67,70,1
female,16,5,41.94,8.0,57.5,yes,secondary,medium,yes,64.0,66.67,55,1
male,15,5,93.55,8.0,45.0,yes,higher,medium,yes,92.8,66.67,50,1
male,15,12,91.4,6.0,55.0,yes,middle,medium,no,90.4,66.67,50,1
female,16,12,100.0,7.0,55.0,yes,middle,medium,yes,100.0,66.67,55,1
male,17,2,97.85,7.0,40.0,yes,middle,medium,yes,43.6,66.67,50,1
female,16,5,87.1,7.0,25.0,yes,higher,medium,no,85.6,60.0,25,0
male,15,2,97.85,7.0,55.0,yes,middle,medium,yes,97.6,46.67,60,1
male,15,8,95.7,8.0,52.5,yes,middle,medium,yes,95.2,66.67,55,1
female,15,5,89.25,8.0,32.5,yes,middle,high,yes,88.0,80.0,30,0
male,15,5,95.7,8.0,75.0,yes,middle,high,yes,95.2,73.33,75,1
female,15,5,97.85,8.0,47.5,yes,primary,medium,no,97.6,60.0,50,1
female,15,5,93.55,8.0,40.0,yes,higher,medium,yes,56.8,80.0,40,1
female,16,5,95.7,6.0,37.5,no,middle,high,no,95.2,73.33,30,0
female,15,8,95.7,6.0,67.5,yes,secondary,medium,no,95.2,73.33,70,1
male,16,5,87.1,7.0,52.5,yes,middle,medium,yes,67.6,66.67,50,1
male,16,5,80.65,8.0,35.0,no,higher,high,no,78.4,53.33,35,0
female,16,8,100.0,8.0,35.0,yes,secondary,medium,yes,100.0,66.67,40,1
female,15,2,95.7,6.0,82.5,yes,higher,medium,yes,95.2,93.33,90,1
female,16,5,95.7,6.0,32.5,no,middle,high,yes,95.2,60.0,30,0
female,16,5,100.0,6.0,52.5,yes,secondary,medium,yes,100.0,73.33,50,1
male,15,12,93.55,8.0,60.0,yes,middle,high,no,92.8,73.33,70,1
female,15,12,97.85,6.0,42.5,yes,primary,low,yes,79.6,40.0,50,1
male,16,2,97.85,8.0,65.0,yes,higher,low,yes,97.6,60.0,75,1
female,16,5,97.85,8.0,42.5,no,middle,medium,yes,97.6,80.0,50,1
female,16,2,93.55,6.0,62.5,yes,higher,medium,no,92.8,80.0,70,1
female,16,8,100.0,7.0,40.0,yes,higher,medium,yes,100.0,86.67,40,1
male,16,2,84.95,8.0,35.0,yes,higher,medium,yes,83.2,93.33,25,0
male,16,8,100.0,8.0,82.5,yes,higher,medium,no,100.0,73.33,85,1
male,15,2,95.7,8.0,57.5,yes,higher,medium,no,95.2,73.33,70,1
female,15,5,72.04,6.0,32.5,yes,middle,medium,yes,68.8,80.0,30,0
male,15,5,100.0,6.0,85.0,yes,higher,medium,yes,100.0,86.67,90,1
female,15,12,89.25,8.0,52.5,no,secondary,medium,yes,88.0,66.67,55,1
female,15,12,91.4,7.0,37.5,yes,middle,medium,yes,90.4,53.33,40,1
male,16,8,97.85,8.0,85.0,yes,secondary,medium,no,97.6,73.33,90,1
male,15,12,93.55,6.0,57.5,yes,higher,low,yes,92.8,60.0,65,1
female,16,8,95.7,8.0,72.5,yes,higher,high,yes,95.2,93.33,80,1
male,15,2,93.55,8.0,92.5,yes,higher,high,no,92.8,86.67,95,1
female,16,8,100.0,6.0,42.5,yes,secondary,low,yes,82.0,46.67,50,1
female,16,5,93.55,8.0,57.5,yes,middle,medium,yes,74.8,40.0,65,1
male,15,2,89.25,7.0,92.5,yes,secondary,high,no,88.0,66.67,95,1
male,15,5,91.4,8.0,45.0,yes,middle,low,no,90.4,73.33,45,1
male,16,5,97.85,8.0,75.0,yes,higher,medium,no,97.6,86.67,80,1
male,15,5,97.85,6.0,60.0,no,higher,medium,no,97.6,73.33,70,1
male,16,2,100.0,8.0,67.5,yes,secondary,medium,no,100.0,73.33,65,1
male,17,5,78.49,8.0,40.0,yes,middle,low,no,58.0,73.33,40,1
male,15,2,93.55,8.0,67.5,yes,higher,medium,no,92.8,66.67,65,1
female,15,5,97.85,6.0,77.5,yes,middle,medium,no,97.6,53.33,75,1
male,15,12,93.55,8.0,75.0,yes,middle,medium,yes,92.8,93.33,75,1
female,16,5,97.85,8.0,65.0,yes,secondary,high,yes,97.6,53.33,65,1
male,16,2,80.65,8.0,62.5,yes,higher,medium,no,78.4,73.33,65,1
female,16,5,100.0,8.0,37.5,yes,middle,medium,yes,100.0,86.67,40,1
male,15,2,100.0,8.0,65.0,yes,higher,medium,yes,100.0,100.0,60,1
female,15,5,100.0,6.0,42.5,yes,higher,high,yes,100.0,66.67,55,1
female,19,5,97.85,8.0,37.5,no,none,medium,no,43.6,60.0,45,1
male,18,2,100.0,8.0,27.5,yes,middle,low,no,64.0,60.0,0,0
male,16,2,91.4,8.0,90.0,yes,higher,low,yes,90.4,86.67,90,1
female,15,8,100.0,8.0,30.0,yes,higher,low,no,64.0,53.33,0,0
female,15,2,100.0,8.0,20.0,yes,primary,medium,no,100.0,66.67,0,0
female,17,2,87.1,8.0,57.5,yes,middle,high,no,85.6,73.33,60,1
female,16,2,82.8,8.0,57.5,yes,higher,medium,no,80.8,40.0,55,1
male,15,5,100.0,8.0,22.5,no,higher,low,no,100.0,73.33,0,0
female,15,8,100.0,8.0,27.5,yes,higher,medium,no,100.0,66.67,0,0
male,17,5,100.0,8.0,25.0,no,higher,low,no,100.0,93.33,0,0
female,16,2,100.0,8.0,10.0,yes,secondary,medium,no,64.0,60.0,0,0
male,16,5,100.0,8.0,65.0,no,primary,high,no,82.0,80.0,60,1
female,15,2,100.0,8.0,80.0,yes,higher,medium,no,100.0,60.0,75,1
male,15,12,100.0,7.0,40.0,yes,higher,medium,yes,100.0,40.0,0,0
male,16,2,91.4,6.0,45.0,yes,middle,high,no,54.4,53.33,45,1
female,15,8,97.85,8.0,50.0,yes,higher,medium,yes,97.6,53.33,55,1
female,16,2,97.85,6.0,70.0,yes,primary,high,no,97.6,73.33,65,1
male,17,2,100.0,8.0,12.5,yes,middle,medium,no,46.0,93.33,0,0
female,15,5,100.0,8.0,47.5,yes,primary,medium,yes,100.0,66.67,55,1
female,15,5,100.0,7.0,32.5,yes,middle,medium,no,46.0,53.33,0,0
female,15,5,97.85,8.0,52.5,yes,middle,medium,yes,97.6,60.0,55,1
male,16,2,100.0,8.0,32.5,yes,higher,medium,no,100.0,53.33,0,0
male,15,2,100.0,8.0,42.5,yes,middle,high,no,46.0,93.33,50,1
male,18,2,100.0,8.0,27.5,yes,primary,high,no,46.0,66.67,0,0
male,16,2,93.55,8.0,62.5,no,middle,high,no,74.8,80.0,70,1
female,15,8,91.4,7.0,50.0,yes,secondary,low,yes,54.4,46.67,50,1
male,19,2,100.0,8.0,12.5,yes,middle,medium,no,46.0,86.67,0,0
female,17,2,100.0,8.0,55.0,no,higher,medium,yes,100.0,46.67,60,1
male,15,5,97.85,6.0,47.5,no,middle,low,yes,97.6,80.0,40,1
male,17,2,91.4,8.0,70.0,no,middle,low,no,90.4,40.0,65,1
female,18,2,93.55,8.0,42.5,no,primary,low,no,38.8,80.0,50,1
male,16,2,97.85,7.0,80.0,no,middle,low,no,97.6,53.33,75,1
male,16,5,95.7,8.0,55.0,yes,secondary,medium,yes,77.2,93.33,60,1
male,17,2,100.0,8.0,32.5,yes,middle,low,no,64.0,53.33,0,0
male,15,5,93.55,7.0,35.0,yes,middle,low,yes,56.8,80.0,35,0
male,16,2,100.0,8.0,17.5,no,middle,high,no,82.0,80.0,0,0
male,17,2,97.85,6.0,50.0,yes,middle,medium,no,97.6,73.33,50,1
male,17,5,100.0,8.0,32.5,no,primary,low,no,46.0,86.67,35,0
male,16,2,82.8,6.0,57.5,no,middle,medium,no,62.8,73.33,60,1
male,16,5,95.7,8.0,50.0,yes,middle,medium,no,95.2,80.0,50,1
female,16,5,100.0,7.0,72.5,yes,secondary,medium,yes,100.0,60.0,80,1
female,16,5,100.0,8.0,32.5,yes,middle,medium,yes,100.0,73.33,0,0
female,16,5,100.0,7.0,70.0,yes,higher,medium,yes,100.0,66.67,70,1
male,16,2,100.0,6.0,27.5,yes,higher,medium,no,64.0,80.0,0,0
male,16,5,97.85,7.0,70.0,yes,none,medium,yes,97.6,60.0,80,1
male,17,5,100.0,8.0,60.0,yes,higher,high,yes,100.0,80.0,50,1
female,16,5,100.0,7.0,37.5,yes,middle,medium,no,46.0,80.0,0,0
female,16,5,95.7,8.0,52.5,yes,secondary,high,yes,95.2,86.67,45,1
male,17,5,95.7,8.0,47.5,yes,higher,high,yes,95.2,80.0,45,1
female,16,5,97.85,8.0,65.0,yes,middle,medium,yes,97.6,73.33,55,1
male,17,5,95.7,8.0,27.5,yes,secondary,medium,no,95.2,73.33,30,0
male,16,2,89.25,7.0,45.0,yes,secondary,low,no,88.0,66.67,45,1
male,17,5,95.7,6.0,50.0,yes,higher,medium,no,95.2,66.67,55,1
male,16,5,89.25,7.0,42.5,yes,higher,medium,yes,88.0,66.67,40,1
male,16,5,97.85,7.0,62.5,yes,secondary,medium,yes,97.6,60.0,60,1
female,17,5,100.0,8.0,82.5,no,secondary,medium,no,100.0,73.33,85,1
female,17,5,39.78,6.0,45.0,yes,secondary,high,no,64.0,73.33,40,1
female,16,5,84.95,6.0,62.5,yes,middle,medium,yes,83.2,33.33,60,1
male,17,5,87.1,8.0,60.0,yes,secondary,medium,no,85.6,73.33,55,1
male,16,2,97.85,7.0,57.5,yes,middle,medium,yes,97.6,60.0,55,1
male,16,5,100.0,8.0,75.0,yes,middle,high,yes,100.0,60.0,75,1
female,17,5,93.55,7.0,37.5,yes,secondary,medium,no,92.8,60.0,45,1
male,17,5,95.7,7.0,42.5,no,middle,low,no,95.2,46.67,50,1
female,16,5,89.25,6.0,57.5,yes,middle,medium,no,88.0,66.67,65,1
female,17,5,100.0,7.0,40.0,yes,primary,medium,no,100.0,73.33,45,1
male,17,5,87.1,8.0,37.5,yes,middle,medium,yes,85.6,80.0,40,1
male,16,2,91.4,8.0,42.5,yes,secondary,low,no,90.4,60.0,50,1
male,16,2,100.0,7.0,67.5,yes,middle,medium,no,100.0,73.33,70,1
female,17,5,100.0,8.0,72.5,yes,secondary,high,no,100.0,60.0,75,1
male,17,2,95.7,8.0,80.0,yes,higher,medium,no,95.2,66.67,80,1
male,16,2,91.4,7.0,45.0,yes,secondary,low,yes,90.4,66.67,50,1
female,17,2,74.19,6.0,90.0,yes,higher,medium,no,53.2,66.67,90,1
female,16,5,100.0,7.0,45.0,yes,higher,high,yes,100.0,73.33,50,1
female,16,5,97.85,6.0,80.0,yes,higher,medium,no,97.6,80.0,80,1
female,16,5,93.55,8.0,45.0,no,middle,medium,yes,92.8,73.33,50,1
female,17,5,95.7,6.0,45.0,no,primary,medium,yes,95.2,80.0,50,1
female,17,2,80.65,7.0,32.5,yes,middle,low,no,78.4,66.67,30,0
female,16,12,93.55,8.0,50.0,yes,middle,low,yes,92.8,86.67,55,1
female,17,8,69.89,8.0,47.5,yes,higher,medium,yes,48.4,73.33,45,1
female,16,5,94.62,8.0,35.0,yes,middle,medium,yes,40.0,53.33,35,0
female,16,5,89.25,6.0,57.5,yes,higher,medium,yes,88.0,40.0,65,1
female,16,2,93.55,8.0,45.0,no,primary,medium,yes,92.8,60.0,50,1
female,17,8,93.55,8.0,35.0,yes,higher,low,yes,92.8,66.67,35,0
female,19,12,89.25,7.0,40.0,yes,secondary,medium,yes,88.0,66.67,40,1
male,17,5,86.02,7.0,60.0,yes,higher,high,yes,84.4,86.67,65,1
female,16,5,100.0,8.0,62.5,yes,middle,medium,yes,100.0,66.67,70,1
male,18,5,83.87,8.0,32.5,yes,middle,medium,yes,64.0,80.0,40,1
female,17,2,87.1,7.0,45.0,no,higher,low,yes,85.6,53.33,50,1
female,17,5,97.85,6.0,72.5,yes,middle,high,yes,97.6,80.0,75,1
female,17,5,76.34,6.0,30.0,yes,higher,medium,yes,37.6,80.0,20,0
male,18,5,86.02,8.0,30.0,yes,secondary,high,yes,66.4,60.0,40,1
female,17,2,96.77,7.0,35.0,no,middle,medium,yes,96.4,60.0,40,1
female,17,8,95.7,8.0,47.5,yes,middle,medium,yes,95.2,66.67,50,1
female,17,5,97.85,8.0,30.0,yes,middle,low,no,97.6,73.33,30,0
female,17,8,100.0,8.0,27.5,no,primary,medium,no,82.0,73.33,0,0
female,16,5,97.85,7.0,80.0,yes,middle,medium,yes,97.6,40.0,85,1
male,18,5,100.0,8.0,62.5,yes,middle,medium,yes,100.0,60.0,65,1
female,16,8,100.0,8.0,65.0,yes,higher,medium,no,100.0,66.67,70,1
female,18,5,82.8,8.0,42.5,yes,middle,low,no,62.8,73.33,35,0
female,17,5,89.25,7.0,77.5,yes,middle,medium,no,88.0,80.0,75,1
male,17,5,97.85,7.0,57.5,yes,middle,high,yes,97.6,73.33,60,1
male,18,5,84.95,7.0,45.0,yes,middle,high,yes,83.2,60.0,45,1
female,17,8,89.25,7.0,55.0,yes,middle,medium,no,88.0,53.33,60,1
female,17,5,84.95,7.0,65.0,yes,higher,high,no,83.2,53.33,70,1
male,17,5,95.7,6.0,55.0,yes,middle,low,yes,95.2,73.33,55,1
male,17,5,84.95,6.0,50.0,yes,higher,medium,yes,83.2,93.33,45,1
male,16,5,97.85,6.0,67.5,yes,higher,medium,yes,97.6,66.67,65,1
male,16,5,80.65,8.0,40.0,yes,primary,high,yes,78.4,60.0,30,0
male,16,8,89.25,6.0,50.0,yes,middle,medium,no,88.0,73.33,50,1
male,17,5,95.7,8.0,67.5,yes,middle,high,yes,95.2,66.67,65,1
female,16,2,78.49,8.0,62.5,yes,middle,medium,no,76.0,73.33,60,1
female,17,5,97.85,7.0,60.0,no,middle,low,no,97.6,26.67,55,1
male,18,5,100.0,6.0,35.0,yes,middle,medium,no,82.0,93.33,0,0
male,17,5,84.95,8.0,60.0,yes,higher,high,no,83.2,80.0,60,1
male,17,5,97.85,8.0,52.5,yes,higher,low,yes,97.6,60.0,60,1
male,16,2,100.0,7.0,15.0,yes,higher,high,no,100.0,93.33,0,0
male,16,2,100.0,8.0,62.5,yes,higher,medium,no,100.0,66.67,60,1
female,18,8,100.0,7.0,17.5,yes,middle,medium,yes,100.0,80.0,0,0
male,16,2,93.55,8.0,90.0,yes,middle,medium,no,92.8,66.67,90,1
male,17,2,95.7,6.0,60.0,yes,middle,medium,no,95.2,60.0,65,1
male,22,2,82.8,6.0,35.0,yes,middle,medium,no,26.8,93.33,40,1
male,18,5,91.4,8.0,20.0,yes,secondary,low,no,72.4,66.67,25,0
male,16,2,100.0,8.0,70.0,yes,primary,medium,yes,100.0,60.0,75,1
male,18,2,100.0,8.0,35.0,yes,middle,medium,no,82.0,86.67,40,1
male,16,5,93.55,6.0,42.5,yes,secondary,medium,yes,92.8,73.33,50,1
male,18,2,95.7,8.0,37.5,yes,middle,medium,no,77.2,66.67,40,1
male,16,2,100.0,7.0,42.5,no,middle,low,no,100.0,53.33,40,1
male,17,2,100.0,8.0,50.0,yes,middle,low,no,100.0,66.67,60,1
male,17,2,97.85,8.0,40.0,yes,primary,high,no,79.6,80.0,40,1
female,17,12,93.55,8.0,65.0,yes,secondary,high,yes,92.8,60.0,65,1
male,19,5,87.1,6.0,55.0,yes,higher,high,no,85.6,53.33,55,1
male,18,5,91.4,8.0,72.5,yes,middle,medium,no,90.4,73.33,70,1
female,17,12,100.0,6.0,47.5,yes,middle,high,yes,100.0,53.33,0,0
female,18,5,77.42,6.0,87.5,yes,higher,medium,yes,74.8,40.0,90,1
male,18,5,97.85,7.0,40.0,yes,higher,medium,yes,97.6,60.0,40,1
male,18,8,98.92,7.0,62.5,no,middle,low,no,98.8,66.67,60,1
female,17,8,95.7,8.0,47.5,no,secondary,medium,no,95.2,53.33,45,1
female,18,8,100.0,7.0,47.5,yes,middle,medium,yes,100.0,66.67,0,0
male,18,5,86.02,6.0,85.0,yes,higher,low,yes,84.4,73.33,85,1
male,17,5,97.85,8.0,45.0,yes,middle,medium,yes,97.6,86.67,50,1
female,18,5,91.4,8.0,55.0,yes,higher,low,yes,90.4,73.33,55,1
male,18,5,89.25,8.0,47.5,yes,secondary,medium,yes,88.0,93.33,50,1
female,18,5,100.0,7.0,15.0,yes,middle,low,no,100.0,80.0,0,0
female,19,5,83.87,8.0,45.0,yes,secondary,medium,yes,46.0,80.0,45,1
female,18,12,95.7,6.0,72.5,yes,middle,medium,yes,95.2,93.33,70,1
female,18,5,97.85,7.0,55.0,no,primary,high,yes,97.6,73.33,55,1
male,17,5,97.85,6.0,72.5,no,middle,low,yes,97.6,66.67,70,1
female,17,5,97.85,6.0,50.0,yes,secondary,medium,yes,97.6,66.67,50,1
female,17,5,93.55,8.0,60.0,yes,middle,high,yes,92.8,80.0,60,1
female,18,5,19.35,8.0,47.5,yes,middle,low,no,64.0,40.0,45,1
male,18,2,76.34,7.0,45.0,yes,higher,medium,yes,73.6,60.0,45,1
female,18,5,83.87,8.0,42.5,yes,higher,medium,yes,64.0,66.67,40,1
male,18,2,91.4,6.0,52.5,yes,higher,high,yes,90.4,60.0,50,1
male,17,2,67.74,8.0,40.0,yes,middle,high,yes,64.0,86.67,40,1
male,17,2,79.57,7.0,50.0,yes,middle,high,no,59.2,80.0,50,1
female,18,12,98.92,7.0,60.0,no,primary,low,yes,98.8,60.0,60,1
female,18,5,95.7,8.0,42.5,yes,primary,medium,yes,95.2,86.67,50,1
female,17,5,95.7,8.0,47.5,yes,middle,medium,no,95.2,93.33,55,1
male,17,5,97.85,8.0,55.0,yes,primary,medium,yes,97.6,66.67,55,1
female,18,8,94.62,6.0,90.0,yes,middle,medium,yes,94.0,66.67,95,1
female,17,8,93.55,7.0,62.5,yes,primary,medium,yes,92.8,66.67,60,1
male,18,8,93.55,6.0,72.5,yes,middle,medium,yes,92.8,66.67,70,1
male,18,5,90.32,6.0,70.0,yes,higher,high,yes,89.2,80.0,75,1
male,18,5,88.17,8.0,57.5,yes,secondary,medium,yes,86.8,60.0,55,1
female,17,8,100.0,7.0,75.0,yes,higher,medium,yes,100.0,53.33,75,1
female,18,5,87.1,8.0,60.0,yes,middle,high,no,67.6,80.0,65,1
female,17,12,93.55,7.0,90.0,no,middle,low,yes,92.8,40.0,90,1
male,18,8,91.4,8.0,67.5,yes,middle,low,yes,90.4,73.33,70,1
male,17,2,95.7,8.0,65.0,yes,secondary,medium,yes,95.2,73.33,55,1
female,19,5,100.0,6.0,47.5,yes,higher,medium,yes,100.0,60.0,0,0
female,18,5,89.25,6.0,45.0,yes,higher,high,yes,88.0,86.67,40,1
female,18,12,100.0,7.0,67.5,yes,higher,medium,yes,100.0,66.67,70,1
male,18,2,94.62,6.0,77.5,yes,higher,high,yes,94.0,46.67,80,1
female,18,5,84.95,8.0,55.0,yes,higher,high,no,83.2,66.67,55,1
male,17,2,100.0,8.0,55.0,yes,higher,high,yes,100.0,40.0,50,1
female,17,8,100.0,7.0,67.5,yes,secondary,medium,yes,100.0,66.67,70,1
female,17,12,100.0,8.0,85.0,yes,middle,medium,yes,100.0,60.0,90,1
male,19,5,78.49,7.0,72.5,yes,secondary,medium,no,58.0,80.0,65,1
female,18,5,91.4,7.0,65.0,yes,secondary,medium,yes,72.4,73.33,60,1
male,20,2,100.0,8.0,87.5,no,middle,medium,no,100.0,86.67,90,1
male,19,2,59.14,8.0,42.5,yes,higher,medium,yes,46.0,73.33,40,1
male,19,5,100.0,8.0,67.5,no,secondary,low,no,82.0,80.0,60,1
female,19,5,80.65,7.0,55.0,yes,primary,high,yes,60.4,73.33,50,1
female,19,5,100.0,7.0,45.0,no,middle,high,no,82.0,66.67,0,0
female,19,5,78.49,6.0,65.0,yes,middle,medium,no,76.0,53.33,65,1
male,19,5,96.77,8.0,60.0,yes,middle,medium,no,78.4,73.33,55,1
female,19,5,76.34,6.0,57.5,yes,middle,high,yes,55.6,53.33,55,1
female,19,8,84.95,7.0,70.0,yes,primary,medium,no,47.2,46.67,65,1
female,19,8,56.99,7.0,60.0,yes,middle,low,no,46.0,46.67,55,1
female,18,5,100.0,6.0,40.0,yes,middle,medium,yes,100.0,73.33,0,0
female,18,8,90.32,8.0,47.5,yes,higher,medium,yes,89.2,73.33,45,1
female,17,8,100.0,8.0,55.0,yes,higher,low,yes,100.0,73.33,50,1
female,18,5,97.85,8.0,55.0,yes,higher,medium,yes,97.6,80.0,55,1
female,17,5,75.27,8.0,65.0,yes,higher,medium,yes,72.4,60.0,65,1
female,17,5,87.1,7.0,50.0,no,middle,medium,no,85.6,53.33,45,1
female,17,8,96.77,7.0,55.0,yes,middle,low,yes,96.4,53.33,55,1
female,17,8,98.92,8.0,65.0,yes,middle,medium,no,98.8,66.67,75,1
female,17,8,100.0,6.0,77.5,yes,primary,high,no,100.0,60.0,75,1
male,18,8,96.77,7.0,52.5,yes,higher,medium,no,96.4,66.67,55,1
male,17,2,96.77,8.0,72.5,yes,secondary,medium,no,96.4,80.0,80,1
male,17,2,91.4,8.0,52.5,yes,middle,low,no,90.4,86.67,50,1
female,17,8,92.47,8.0,47.5,yes,higher,medium,yes,91.6,86.67,45,1
female,17,8,95.7,8.0,70.0,yes,higher,medium,yes,95.2,66.67,70,1
male,18,12,97.85,8.0,42.5,yes,middle,high,no,97.6,93.33,40,1
female,17,8,92.47,8.0,65.0,yes,secondary,low,no,91.6,73.33,70,1
female,18,5,100.0,8.0,17.5,yes,secondary,medium,no,100.0,80.0,0,0
female,18,5,100.0,6.0,40.0,yes,middle,high,no,100.0,66.67,0,0
female,18,12,100.0,8.0,47.5,no,middle,low,no,100.0,80.0,0,0
female,17,8,82.8,8.0,77.5,yes,higher,medium,no,80.8,86.67,75,1
female,19,8,87.1,8.0,67.5,no,middle,low,yes,67.6,80.0,65,1
