gender,age,study_hours,attendance,sleep_hours,previous_grade,internet_access,parent_education,family_income,extra_classes,assignments_completed,participation,final_score,pass_fail,study_efficiency,homework_ratio,academic_engagement_score,sleep_quality_index,grade_trend,risk_index
female,15,8,97.85,8.0,47.5,yes,secondary,low,yes,97.6,60.0,40,1,7.827999999999999,0.976,0.8841999999999999,1.0,-7.5,1.3525000000000034
female,16,2,84.95,8.0,37.5,yes,middle,medium,yes,47.2,33.33,40,1,1.699,0.47200000000000003,0.56806,1.0,-17.5,34.4675
male,15,2,97.85,8.0,60.0,yes,middle,medium,yes,97.6,53.33,55,1,1.9569999999999999,0.976,0.8108599999999999,1.0,5.0,17.352500000000003
male,15,2,95.7,6.0,77.5,yes,secondary,medium,yes,95.2,53.33,75,1,1.9140000000000001,0.9520000000000001,0.7950600000000001,0.75,22.5,18.705
male,16,5,95.7,8.0,55.0,yes,higher,high,yes,95.2,73.33,55,1,4.785,0.9520000000000001,0.8650600000000002,1.0,0.0,6.704999999999998
male,16,5,82.8,8.0,55.0,yes,higher,medium,yes,80.8,86.67,55,1,4.14,0.8079999999999999,0.7969400000000001,1.0,0.0,14.82
male,15,5,100.0,8.0,50.0,yes,higher,medium,yes,100.0,73.33,60,1,5.0,1.0,0.89666,1.0,-5.0,4.0
male,15,5,100.0,8.0,82.5,yes,higher,medium,no,100.0,53.33,85,1,5.0,1.0,0.85666,1.0,27.5,4.0
male,15,5,100.0,8.0,82.5,yes,higher,low,no,100.0,73.33,80,1,5.0,1.0,0.89666,1.0,27.5,4.0
male,15,5,100.0,6.0,45.0,yes,secondary,high,no,100.0,66.67,60,1,5.0,1.0,0.88334,0.75,-10.0,4.0
male,16,2,100.0,8.0,65.0,yes,middle,medium,yes,100.0,80.0,75,1,2.0,1.0,0.88,1.0,10.0,16.0
female,15,2,100.0,8.0,37.5,no,middle,medium,no,100.0,60.0,30,0,2.0,1.0,0.84,1.0,-17.5,16.0
male,15,8,97.85,8.0,77.5,yes,higher,high,no,97.6,80.0,90,1,7.827999999999999,0.976,0.9241999999999999,1.0,22.5,1.3525000000000034
male,16,8,92.47,8.0,77.5,yes,higher,low,no,91.6,60.0,75,1,7.3976,0.9159999999999999,0.8446799999999999,1.0,22.5,4.735500000000002
female,15,8,97.85,8.0,60.0,yes,higher,low,yes,97.6,60.0,55,1,7.827999999999999,0.976,0.8841999999999999,1.0,5.0,1.3525000000000034
female,15,2,91.4,6.0,67.5,no,middle,low,yes,90.4,53.33,65,1,1.828,0.904,0.76346,0.75,12.5,21.409999999999997
female,16,5,73.12,7.0,42.5,yes,middle,high,no,52.0,60.0,55,1,3.6560000000000006,0.52,0.61848,0.875,-12.5,25.407999999999998
male,15,2,91.4,8.0,60.0,yes,higher,high,no,90.4,80.0,60,1,1.828,0.904,0.8168000000000001,1.0,5.0,21.409999999999997
male,15,5,97.85,8.0,92.5,yes,higher,medium,no,97.6,66.67,90,1,4.8925,0.976,0.86754,1.0,37.5,5.352500000000004
male,15,2,100.0,6.0,40.0,yes,middle,medium,yes,100.0,66.67,55,1,2.0,1.0,0.85334,0.75,-15.0,16.0
female,16,5,84.95,8.0,50.0,yes,middle,high,yes,65.2,66.67,45,1,4.2475000000000005,0.652,0.7187400000000002,1.0,-5.0,17.967499999999998
female,15,5,91.4,8.0,40.0,yes,higher,high,yes,90.4,60.0,30,0,4.57,0.904,0.8068000000000001,1.0,-15.0,9.409999999999997
female,16,5,87.1,7.0,57.5,yes,secondary,high,no,85.6,66.67,55,1,4.355,0.856,0.78854,0.875,2.5,12.115000000000002
male,16,12,95.7,6.0,95.0,yes,higher,medium,no,95.2,53.33,100,1,11.484000000000002,0.9520000000000001,0.8750600000000001,0.75,40.0,2.7049999999999983
male,15,5,97.85,8.0,75.0,no,secondary,medium,yes,97.6,66.67,70,1,4.8925,0.976,0.86754,1.0,20.0,5.352500000000004
female,15,5,97.85,7.0,35.0,yes,higher,medium,yes,79.6,80.0,35,0,4.8925,0.7959999999999999,0.8402,0.875,-20.0,9.852500000000003
female,16,5,97.85,8.0,62.5,yes,middle,high,yes,97.6,66.67,65,1,4.8925,0.976,0.86754,1.0,7.5,5.352500000000004
female,15,5,97.85,8.0,60.0,yes,secondary,high,yes,97.6,66.67,65,1,4.8925,0.976,0.86754,1.0,5.0,5.352500000000004
male,15,2,93.55,8.0,55.0,no,secondary,high,no,74.8,100.0,50,1,1.871,0.748,0.8186,1.0,0.0,24.5575
female,15,2,100.0,8.0,45.0,yes,higher,medium,yes,100.0,66.67,55,1,2.0,1.0,0.85334,1.0,-10.0,16.0
female,15,2,93.55,6.0,57.5,yes,secondary,high,yes,92.8,80.0,65,1,1.871,0.9279999999999999,0.8326000000000001,0.75,2.5,20.0575
female,16,5,91.4,6.0,42.5,yes,middle,medium,yes,90.4,80.0,50,1,4.57,0.904,0.8468000000000001,0.75,-12.5,9.409999999999997
female,15,5,100.0,6.0,72.5,yes,higher,medium,yes,100.0,60.0,75,1,5.0,1.0,0.87,0.75,17.5,4.0
male,15,5,95.7,8.0,72.5,no,higher,medium,no,95.2,46.67,75,1,4.785,0.9520000000000001,0.8117400000000001,1.0,17.5,6.704999999999998
male,15,5,97.85,8.0,47.5,yes,middle,high,yes,97.6,60.0,45,1,4.8925,0.976,0.8542,1.0,-7.5,5.352500000000004
female,16,5,97.85,8.0,77.5,yes,secondary,medium,no,97.6,60.0,80,1,4.8925,0.976,0.8542,1.0,22.5,5.352500000000004
female,16,5,93.55,8.0,52.5,no,higher,low,no,92.8,66.67,55,1,4.6775,0.9279999999999999,0.8359400000000001,1.0,-2.5,8.057500000000001
female,16,2,93.55,8.0,45.0,yes,primary,medium,yes,92.8,100.0,55,1,1.871,0.9279999999999999,0.8726,1.0,-10.0,20.0575
female,16,5,95.7,6.0,45.0,yes,middle,high,yes,95.2,73.33,45,1,4.785,0.9520000000000001,0.8650600000000002,0.75,-10.0,6.704999999999998
female,16,8,97.85,8.0,47.5,yes,higher,medium,yes,97.6,73.33,45,1,7.827999999999999,0.976,0.91086,1.0,-7.5,1.3525000000000034
female,15,5,100.0,6.0,50.0,yes,higher,high,yes,100.0,80.0,50,1,5.0,1.0,0.91,0.75,-5.0,4.0
female,16,5,97.85,6.0,77.5,yes,higher,high,no,97.6,80.0,75,1,4.8925,0.976,0.8942,0.75,22.5,5.352500000000004
male,15,12,95.7,7.0,65.0,yes,higher,medium,no,95.2,46.67,60,1,11.484000000000002,0.9520000000000001,0.8617400000000001,0.875,10.0,2.7049999999999983
female,16,12,95.7,8.0,35.0,yes,middle,medium,yes,95.2,66.67,30,0,11.484000000000002,0.9520000000000001,0.9017400000000001,1.0,-20.0,2.7049999999999983
female,15,5,97.85,8.0,42.5,yes,middle,low,yes,97.6,53.33,40,1,4.8925,0.976,0.8408599999999999,1.0,-12.5,5.352500000000004
female,15,12,87.1,7.0,80.0,yes,middle,low,no,85.6,66.67,80,1,10.452,0.856,0.83854,0.875,25.0,8.115000000000002
male,16,12,100.0,8.0,70.0,yes,middle,medium,yes,100.0,60.0,75,1,12.0,1.0,0.9199999999999999,1.0,15.0,0.0
male,15,12,100.0,7.0,50.0,yes,secondary,medium,no,100.0,60.0,50,1,12.0,1.0,0.9199999999999999,0.875,-5.0,0.0
female,15,5,97.85,8.0,35.0,yes,primary,low,yes,61.6,66.67,25,0,4.8925,0.616,0.75954,1.0,-20.0,14.352500000000001
male,16,2,97.85,8.0,60.0,no,middle,medium,no,97.6,66.67,70,1,1.9569999999999999,0.976,0.83754,1.0,5.0,17.352500000000003
female,16,5,41.94,8.0,57.5,yes,secondary,medium,yes,64.0,66.67,55,1,2.097,0.64,0.5431,1.0,2.5,33.321
male,15,5,93.55,8.0,45.0,yes,higher,medium,yes,92.8,66.67,50,1,4.6775,0.9279999999999999,0.8359400000000001,1.0,-10.0,8.057500000000001
male,15,12,91.4,6.0,55.0,yes,middle,medium,no,90.4,66.67,50,1,10.968,0.904,0.87014,0.75,0.0,5.409999999999997
female,16,12,100.0,7.0,55.0,yes,middle,medium,yes,100.0,66.67,55,1,12.0,1.0,0.93334,0.875,0.0,0.0
male,17,2,97.85,7.0,40.0,yes,middle,medium,yes,43.6,66.67,50,1,1.9569999999999999,0.436,0.67554,0.875,-15.0,30.8525
female,16,5,87.1,7.0,25.0,yes,higher,medium,no,85.6,60.0,25,0,4.355,0.856,0.7752,0.875,-30.0,12.115000000000002
male,15,2,97.85,7.0,55.0,yes,middle,medium,yes,97.6,46.67,60,1,1.9569999999999999,0.976,0.7975399999999999,0.875,0.0,17.352500000000003
male,15,8,95.7,8.0,52.5,yes,middle,medium,yes,95.2,66.67,55,1,7.656000000000001,0.9520000000000001,0.8817400000000002,1.0,-2.5,2.7049999999999983
female,15,5,89.25,8.0,32.5,yes,middle,high,yes,88.0,80.0,30,0,4.4624999999999995,0.88,0.8310000000000001,1.0,-22.5,10.7625
male,15,5,95.7,8.0,75.0,yes,middle,high,yes,95.2,73.33,75,1,4.785,0.9520000000000001,0.8650600000000002,1.0,20.0,6.704999999999998
female,15,5,97.85,8.0,47.5,yes,primary,medium,no,97.6,60.0,50,1,4.8925,0.976,0.8542,1.0,-7.5,5.352500000000004
female,15,5,93.55,8.0,40.0,yes,higher,medium,yes,56.8,80.0,40,1,4.6775,0.568,0.7546,1.0,-15.0,17.0575
female,16,5,95.7,6.0,37.5,no,middle,high,no,95.2,73.33,30,0,4.785,0.9520000000000001,0.8650600000000002,0.75,-17.5,6.704999999999998
female,15,8,95.7,6.0,67.5,yes,secondary,medium,no,95.2,73.33,70,1,7.656000000000001,0.9520000000000001,0.8950600000000002,0.75,12.5,2.7049999999999983
male,16,5,87.1,7.0,52.5,yes,middle,medium,yes,67.6,66.67,50,1,4.355,0.6759999999999999,0.7345400000000001,0.875,-2.5,16.615000000000002
male,16,5,80.65,8.0,35.0,no,higher,high,no,78.4,53.33,35,0,4.032500000000001,0.784,0.7144600000000001,1.0,-20.0,16.172499999999996
female,16,8,100.0,8.0,35.0,yes,secondary,medium,yes,100.0,66.67,40,1,8.0,1.0,0.91334,1.0,-20.0,0.0
female,15,2,95.7,6.0,82.5,yes,higher,medium,yes,95.2,93.33,90,1,1.9140000000000001,0.9520000000000001,0.8750600000000002,0.75,27.5,18.705
female,16,5,95.7,6.0,32.5,no,middle,high,yes,95.2,60.0,30,0,4.785,0.9520000000000001,0.8384000000000001,0.75,-22.5,6.704999999999998
female,16,5,100.0,6.0,52.5,yes,secondary,medium,yes,100.0,73.33,50,1,5.0,1.0,0.89666,0.75,-2.5,4.0
male,15,12,93.55,8.0,60.0,yes,middle,high,no,92.8,73.33,70,1,11.225999999999999,0.9279999999999999,0.8992600000000001,1.0,5.0,4.057500000000001
female,15,12,97.85,6.0,42.5,yes,primary,low,yes,79.6,40.0,50,1,11.741999999999999,0.7959999999999999,0.8101999999999999,0.75,-12.5,5.852500000000004
male,16,2,97.85,8.0,65.0,yes,higher,low,yes,97.6,60.0,75,1,1.9569999999999999,0.976,0.8241999999999999,1.0,10.0,17.352500000000003
female,16,5,97.85,8.0,42.5,no,middle,medium,yes,97.6,80.0,50,1,4.8925,0.976,0.8942,1.0,-12.5,5.352500000000004
female,16,2,93.55,6.0,62.5,yes,higher,medium,no,92.8,80.0,70,1,1.871,0.9279999999999999,0.8326000000000001,0.75,7.5,20.0575
female,16,8,100.0,7.0,40.0,yes,higher,medium,yes,100.0,86.67,40,1,8.0,1.0,0.9533400000000001,0.875,-15.0,0.0
male,16,2,84.95,8.0,35.0,yes,higher,medium,yes,83.2,93.33,25,0,1.699,0.8320000000000001,0.7960600000000001,1.0,-20.0,25.467499999999998
male,16,8,100.0,8.0,82.5,yes,higher,medium,no,100.0,73.33,85,1,8.0,1.0,0.92666,1.0,27.5,0.0
male,15,2,95.7,8.0,57.5,yes,higher,medium,no,95.2,73.33,70,1,1.9140000000000001,0.9520000000000001,0.8350600000000001,1.0,2.5,18.705
female,15,5,72.04,6.0,32.5,yes,middle,medium,yes,68.8,80.0,30,0,3.6020000000000003,0.688,0.7045600000000001,0.75,-22.5,21.586
male,15,5,100.0,6.0,85.0,yes,higher,medium,yes,100.0,86.67,90,1,5.0,1.0,0.92334,0.75,30.0,4.0
female,15,12,89.25,8.0,52.5,no,secondary,medium,yes,88.0,66.67,55,1,10.709999999999999,0.88,0.85434,1.0,-2.5,6.762499999999999
female,15,12,91.4,7.0,37.5,yes,middle,medium,yes,90.4,53.33,40,1,10.968,0.904,0.84346,0.875,-17.5,5.409999999999997
male,16,8,97.85,8.0,85.0,yes,secondary,medium,no,97.6,73.33,90,1,7.827999999999999,0.976,0.91086,1.0,30.0,1.3525000000000034
male,15,12,93.55,6.0,57.5,yes,higher,low,yes,92.8,60.0,65,1,11.225999999999999,0.9279999999999999,0.8726,0.75,2.5,4.057500000000001
female,16,8,95.7,8.0,72.5,yes,higher,high,yes,95.2,93.33,80,1,7.656000000000001,0.9520000000000001,0.9350600000000002,1.0,17.5,2.7049999999999983
male,15,2,93.55,8.0,92.5,yes,higher,high,no,92.8,86.67,95,1,1.871,0.9279999999999999,0.8459400000000001,1.0,37.5,20.0575
female,16,8,100.0,6.0,42.5,yes,secondary,low,yes,82.0,46.67,50,1,8.0,0.82,0.81934,0.75,-12.5,4.5
female,16,5,93.55,8.0,57.5,yes,middle,medium,yes,74.8,40.0,65,1,4.6775,0.748,0.7286000000000001,1.0,2.5,12.557500000000001
male,15,2,89.25,7.0,92.5,yes,secondary,high,no,88.0,66.67,95,1,1.785,0.88,0.77434,0.875,37.5,22.7625
male,15,5,91.4,8.0,45.0,yes,middle,low,no,90.4,73.33,45,1,4.57,0.904,0.8334600000000001,1.0,-10.0,9.409999999999997
male,16,5,97.85,8.0,75.0,yes,higher,medium,no,97.6,86.67,80,1,4.8925,0.976,0.90754,1.0,20.0,5.352500000000004
male,15,5,97.85,6.0,60.0,no,higher,medium,no,97.6,73.33,70,1,4.8925,0.976,0.88086,0.75,5.0,5.352500000000004
male,16,2,100.0,8.0,67.5,yes,secondary,medium,no,100.0,73.33,65,1,2.0,1.0,0.86666,1.0,12.5,16.0
male,17,5,78.49,8.0,40.0,yes,middle,low,no,58.0,73.33,40,1,3.9244999999999997,0.58,0.68462,1.0,-15.0,22.0285
male,15,2,93.55,8.0,67.5,yes,higher,medium,no,92.8,66.67,65,1,1.871,0.9279999999999999,0.8059400000000001,1.0,12.5,20.0575
female,15,5,97.85,6.0,77.5,yes,middle,medium,no,97.6,53.33,75,1,4.8925,0.976,0.8408599999999999,0.75,22.5,5.352500000000004
male,15,12,93.55,8.0,75.0,yes,middle,medium,yes,92.8,93.33,75,1,11.225999999999999,0.9279999999999999,0.9392600000000001,1.0,20.0,4.057500000000001
female,16,5,97.85,8.0,65.0,yes,secondary,high,yes,97.6,53.33,65,1,4.8925,0.976,0.8408599999999999,1.0,10.0,5.352500000000004
male,16,2,80.65,8.0,62.5,yes,higher,medium,no,78.4,73.33,65,1,1.6130000000000002,0.784,0.7244600000000001,1.0,7.5,28.172499999999996
female,16,5,100.0,8.0,37.5,yes,middle,medium,yes,100.0,86.67,40,1,5.0,1.0,0.92334,1.0,-17.5,4.0
male,15,2,100.0,8.0,65.0,yes,higher,medium,yes,100.0,100.0,60,1,2.0,1.0,0.9199999999999999,1.0,10.0,16.0
female,15,5,100.0,6.0,42.5,yes,higher,high,yes,100.0,66.67,55,1,5.0,1.0,0.88334,0.75,-12.5,4.0
female,19,5,97.85,8.0,37.5,no,unknown,medium,no,43.6,60.0,45,1,4.8925,0.436,0.6922,1.0,-17.5,18.8525
male,18,2,100.0,8.0,27.5,yes,middle,low,no,64.0,60.0,0,0,2.0,0.64,0.7320000000000001,1.0,-27.5,25.0
male,16,2,91.4,8.0,90.0,yes,higher,low,yes,90.4,86.67,90,1,1.828,0.904,0.8301400000000001,1.0,35.0,21.409999999999997
female,15,8,100.0,8.0,30.0,yes,higher,low,no,64.0,53.33,0,0,8.0,0.64,0.7786600000000001,1.0,-25.0,9.0
female,15,2,100.0,8.0,20.0,yes,primary,medium,no,100.0,66.67,0,0,2.0,1.0,0.85334,1.0,-35.0,16.0
female,17,2,87.1,8.0,57.5,yes,middle,high,no,85.6,73.33,60,1,1.742,0.856,0.77186,1.0,2.5,24.115000000000002
female,16,2,82.8,8.0,57.5,yes,higher,medium,no,80.8,40.0,55,1,1.656,0.8079999999999999,0.6736,1.0,2.5,26.82
male,15,5,100.0,8.0,22.5,no,higher,low,no,100.0,73.33,0,0,5.0,1.0,0.89666,1.0,-32.5,4.0
female,15,8,100.0,8.0,27.5,yes,higher,medium,no,100.0,66.67,0,0,8.0,1.0,0.91334,1.0,-27.5,0.0
male,17,5,100.0,8.0,25.0,no,higher,low,no,100.0,93.33,0,0,5.0,1.0,0.93666,1.0,-30.0,4.0
female,16,2,100.0,8.0,10.0,yes,secondary,medium,no,64.0,60.0,0,0,2.0,0.64,0.7320000000000001,1.0,-45.0,25.0
male,16,5,100.0,8.0,65.0,no,primary,high,no,82.0,80.0,60,1,5.0,0.82,0.8560000000000001,1.0,10.0,8.5
female,15,2,100.0,8.0,80.0,yes,higher,medium,no,100.0,60.0,75,1,2.0,1.0,0.84,1.0,25.0,16.0
male,15,12,100.0,7.0,40.0,yes,higher,medium,yes,100.0,40.0,0,0,12.0,1.0,0.88,0.875,-15.0,0.0
male,16,2,91.4,6.0,45.0,yes,middle,high,no,54.4,53.33,45,1,1.828,0.544,0.65546,0.75,-10.0,30.409999999999997
female,15,8,97.85,8.0,50.0,yes,higher,medium,yes,97.6,53.33,55,1,7.827999999999999,0.976,0.87086,1.0,-5.0,1.3525000000000034
female,16,2,97.85,6.0,70.0,yes,primary,high,no,97.6,73.33,65,1,1.9569999999999999,0.976,0.85086,0.75,15.0,17.352500000000003
male,17,2,100.0,8.0,12.5,yes,middle,medium,no,46.0,93.33,0,0,2.0,0.46,0.7446600000000001,1.0,-42.5,29.5
female,15,5,100.0,8.0,47.5,yes,primary,medium,yes,100.0,66.67,55,1,5.0,1.0,0.88334,1.0,-7.5,4.0
female,15,5,100.0,7.0,32.5,yes,middle,medium,no,46.0,53.33,0,0,5.0,0.46,0.69466,0.875,-22.5,17.5
female,15,5,97.85,8.0,52.5,yes,middle,medium,yes,97.6,60.0,55,1,4.8925,0.976,0.8542,1.0,-2.5,5.352500000000004
male,16,2,100.0,8.0,32.5,yes,higher,medium,no,100.0,53.33,0,0,2.0,1.0,0.82666,1.0,-22.5,16.0
male,15,2,100.0,8.0,42.5,yes,middle,high,no,46.0,93.33,50,1,2.0,0.46,0.7446600000000001,1.0,-12.5,29.5
male,18,2,100.0,8.0,27.5,yes,primary,high,no,46.0,66.67,0,0,2.0,0.46,0.6913400000000001,1.0,-27.5,29.5
male,16,2,93.55,8.0,62.5,no,middle,high,no,74.8,80.0,70,1,1.871,0.748,0.7786000000000001,1.0,7.5,24.5575
female,15,8,91.4,7.0,50.0,yes,secondary,low,yes,54.4,46.67,50,1,7.312,0.544,0.70214,0.875,-5.0,14.409999999999998
male,19,2,100.0,8.0,12.5,yes,middle,medium,no,46.0,86.67,0,0,2.0,0.46,0.7313400000000001,1.0,-42.5,29.5
female,17,2,100.0,8.0,55.0,no,higher,medium,yes,100.0,46.67,60,1,2.0,1.0,0.81334,1.0,0.0,16.0
male,15,5,97.85,6.0,47.5,no,middle,low,yes,97.6,80.0,40,1,4.8925,0.976,0.8942,0.75,-7.5,5.352500000000004
male,17,2,91.4,8.0,70.0,no,middle,low,no,90.4,40.0,65,1,1.828,0.904,0.7368000000000001,1.0,15.0,21.409999999999997
female,18,2,93.55,8.0,42.5,no,primary,low,no,38.8,80.0,50,1,1.871,0.38799999999999996,0.6706000000000001,1.0,-12.5,33.557500000000005
male,16,2,97.85,7.0,80.0,no,middle,low,no,97.6,53.33,75,1,1.9569999999999999,0.976,0.8108599999999999,0.875,25.0,17.352500000000003
male,16,5,95.7,8.0,55.0,yes,secondary,medium,yes,77.2,93.33,60,1,4.785,0.772,0.8510600000000001,1.0,0.0,11.204999999999998
male,17,2,100.0,8.0,32.5,yes,middle,low,no,64.0,53.33,0,0,2.0,0.64,0.7186600000000001,1.0,-22.5,25.0
male,15,5,93.55,7.0,35.0,yes,middle,low,yes,56.8,80.0,35,0,4.6775,0.568,0.7546,0.875,-20.0,17.0575
male,16,2,100.0,8.0,17.5,no,middle,high,no,82.0,80.0,0,0,2.0,0.82,0.8260000000000001,1.0,-37.5,20.5
male,17,2,97.85,6.0,50.0,yes,middle,medium,no,97.6,73.33,50,1,1.9569999999999999,0.976,0.85086,0.75,-5.0,17.352500000000003
male,17,5,100.0,8.0,32.5,no,primary,low,no,46.0,86.67,35,0,5.0,0.46,0.7613400000000001,1.0,-22.5,17.5
male,16,2,82.8,6.0,57.5,no,middle,medium,no,62.8,73.33,60,1,1.656,0.628,0.68626,0.75,2.5,31.32
male,16,5,95.7,8.0,50.0,yes,middle,medium,no,95.2,80.0,50,1,4.785,0.9520000000000001,0.8784000000000002,1.0,-5.0,6.704999999999998
female,16,5,100.0,7.0,72.5,yes,secondary,medium,yes,100.0,60.0,80,1,5.0,1.0,0.87,0.875,17.5,4.0
female,16,5,100.0,8.0,32.5,yes,middle,medium,yes,100.0,73.33,0,0,5.0,1.0,0.89666,1.0,-22.5,4.0
female,16,5,100.0,7.0,70.0,yes,higher,medium,yes,100.0,66.67,70,1,5.0,1.0,0.88334,0.875,15.0,4.0
male,16,2,100.0,6.0,27.5,yes,higher,medium,no,64.0,80.0,0,0,2.0,0.64,0.7720000000000001,0.75,-27.5,25.0
male,16,5,97.85,7.0,70.0,yes,unknown,medium,yes,97.6,60.0,80,1,4.8925,0.976,0.8542,0.875,15.0,5.352500000000004
male,17,5,100.0,8.0,60.0,yes,higher,high,yes,100.0,80.0,50,1,5.0,1.0,0.91,1.0,5.0,4.0
female,16,5,100.0,7.0,37.5,yes,middle,medium,no,46.0,80.0,0,0,5.0,0.46,0.7480000000000001,0.875,-17.5,17.5
female,16,5,95.7,8.0,52.5,yes,secondary,high,yes,95.2,86.67,45,1,4.785,0.9520000000000001,0.8917400000000002,1.0,-2.5,6.704999999999998
male,17,5,95.7,8.0,47.5,yes,higher,high,yes,95.2,80.0,45,1,4.785,0.9520000000000001,0.8784000000000002,1.0,-7.5,6.704999999999998
female,16,5,97.85,8.0,65.0,yes,middle,medium,yes,97.6,73.33,55,1,4.8925,0.976,0.88086,1.0,10.0,5.352500000000004
male,17,5,95.7,8.0,27.5,yes,secondary,medium,no,95.2,73.33,30,0,4.785,0.9520000000000001,0.8650600000000002,1.0,-27.5,6.704999999999998
male,16,2,89.25,7.0,45.0,yes,secondary,low,no,88.0,66.67,45,1,1.785,0.88,0.77434,0.875,-10.0,22.7625
male,17,5,95.7,6.0,50.0,yes,higher,medium,no,95.2,66.67,55,1,4.785,0.9520000000000001,0.8517400000000002,0.75,-5.0,6.704999999999998
male,16,5,89.25,7.0,42.5,yes,higher,medium,yes,88.0,66.67,40,1,4.4624999999999995,0.88,0.80434,0.875,-12.5,10.7625
male,16,5,97.85,7.0,62.5,yes,secondary,medium,yes,97.6,60.0,60,1,4.8925,0.976,0.8542,0.875,7.5,5.352500000000004
female,17,5,100.0,8.0,82.5,no,secondary,medium,no,100.0,73.33,85,1,5.0,1.0,0.89666,1.0,27.5,4.0
female,17,5,39.78,6.0,45.0,yes,secondary,high,no,64.0,73.33,40,1,1.9889999999999999,0.64,0.54778,0.75,-10.0,34.077
female,16,5,84.95,6.0,62.5,yes,middle,medium,yes,83.2,33.33,60,1,4.2475000000000005,0.8320000000000001,0.7060600000000001,0.75,7.5,13.467499999999998
male,17,5,87.1,8.0,60.0,yes,secondary,medium,no,85.6,73.33,55,1,4.355,0.856,0.80186,1.0,5.0,12.115000000000002
male,16,2,97.85,7.0,57.5,yes,middle,medium,yes,97.6,60.0,55,1,1.9569999999999999,0.976,0.8241999999999999,0.875,2.5,17.352500000000003
male,16,5,100.0,8.0,75.0,yes,middle,high,yes,100.0,60.0,75,1,5.0,1.0,0.87,1.0,20.0,4.0
